rank,name,date
1,Luka Doncic,10-28-2025
2,Giannis Antetokounmpo,10-28-2025
3,Victor Wembanyama,10-28-2025
4,Austin Reaves,10-28-2025
5,Shai Gilgeous-Alexander,10-28-2025
6,Tyrese Maxey,10-28-2025
6,LaMelo Ball,10-28-2025
8,Stephen Curry,10-28-2025
9,Aaron Gordon,10-28-2025
10,Nikola Jokic,10-28-2025
11,Alperen Sengun,10-28-2025
12,Bennedict Mathurin,10-28-2025
13,Julius Randle,10-28-2025
13,Zion Williamson,10-28-2025
15,Pascal Siakam,10-28-2025
15,Jalen Brunson,10-28-2025
17,Anthony Davis,10-28-2025
17,Kevin Durant,10-28-2025
19,Scottie Barnes,10-28-2025
20,James Harden,10-28-2025
21,Jamal Murray,10-28-2025
22,Donovan Mitchell,10-28-2025
23,Chet Holmgren,10-28-2025
24,VJ Edgecombe,10-28-2025
25,Nikola Vucevic,10-28-2025
26,Lauri Markkanen,10-28-2025
26,Jaylen Brown,10-28-2025
26,Kyshawn George,10-28-2025
29,Zach LaVine,10-28-2025
30,Norman Powell,10-28-2025
31,Devin Booker,10-28-2025
32,Cade Cunningham,10-28-2025
33,Kawhi Leonard,10-28-2025
34,Cam Thomas,10-28-2025
35,Karl-Anthony Towns,10-28-2025
36,RJ Barrett,10-28-2025
37,Evan Mobley,10-28-2025
38,Anthony Edwards,10-28-2025
39,Jimmy Butler III,10-28-2025
40,Deni Avdija,10-28-2025
41,Brandon Ingram,10-28-2025
42,Franz Wagner,10-28-2025
43,DeMar DeRozan,10-28-2025
44,Miles Bridges,10-28-2025
45,Trey Murphy III,10-28-2025
46,Josh Giddey,10-28-2025
46,Cedric Coward,10-28-2025
48,Ausar Thompson,10-28-2025
49,Kristaps Porzingis,10-28-2025
50,Ja Morant,10-28-2025
1,Luka Doncic,10-29-2025
2,Giannis Antetokounmpo,10-29-2025
3,Victor Wembanyama,10-29-2025
4,Austin Reaves,10-29-2025
5,Tyrese Maxey,10-29-2025
6,Nikola Jokic,10-29-2025
7,Shai Gilgeous-Alexander,10-29-2025
8,Lauri Markkanen,10-29-2025
9,LaMelo Ball,10-29-2025
10,Jamal Murray,10-29-2025
11,Jalen Brunson,10-29-2025
12,Bennedict Mathurin,10-29-2025
13,Anthony Davis,10-29-2025
14,Alperen Sengun,10-29-2025
14,Zion Williamson,10-29-2025
16,Pascal Siakam,10-29-2025
17,Stephen Curry,10-29-2025
18,Nikola Vucevic,10-29-2025
19,Julius Randle,10-29-2025
20,Donovan Mitchell,10-29-2025
21,Devin Booker,10-29-2025
22,Chet Holmgren,10-29-2025
23,Kyshawn George,10-29-2025
24,Norman Powell,10-29-2025
25,Aaron Gordon,10-29-2025
26,Alex Sarr,10-29-2025
26,James Harden,10-29-2025
